epoch,train Loss,training accuracy,val_accurate
1,0.820043623,0.547489413,0.35989011
2,0.771083117,0.694192377,0.587912088
3,0.610645413,0.758015729,0.631868132
4,0.398873448,0.833030853,0.645604396
5,0.33748585,0.931336963,0.645604396
6,0.136769414,0.968844525,0.648351648
7,0.047466464,0.984573503,0.637362637
8,0.022710131,0.988505747,0.623626374
9,0.016659463,0.995462795,0.645604396
10,0.005790268,0.998487598,0.662087912
11,0.002018473,1,0.678571429
12,0.002607557,1,0.706043956
13,0.00189602,0.99969752,0.717032967
14,0.001779153,0.99969752,0.684065934
15,0.001934391,0.99969752,0.697802198
16,0.003001859,0.99969752,0.673076923
17,0.001180392,1,0.706043956
18,0.001913869,1,0.700549451
19,0.001012044,1,0.700549451
20,0.001218047,1,0.711538462
21,0.000536419,1,0.684065934
22,0.000700116,1,0.706043956
23,0.000857507,1,0.700549451
24,0.000882661,1,0.700549451
25,0.000320636,1,0.711538462
26,0.000437759,1,0.703296703
27,0.000513803,1,0.697802198
28,0.000398893,1,0.697802198
29,0.000597886,1,0.703296703
30,0.0009402,1,0.692307692
31,0.000233584,1,0.700549451
32,0.000449997,1,0.697802198
33,0.000202611,1,0.700549451
34,0.000751515,1,0.700549451
35,0.000212229,1,0.703296703
36,0.000237822,1,0.708791209
37,0.000210562,1,0.703296703
38,0.000274036,1,0.695054945
39,0.000168762,1,0.706043956
40,0.000246559,1,0.706043956
41,0.00016619,1,0.706043956
42,0.000227969,1,0.706043956
43,0.000356072,1,0.706043956
44,0.000207693,1,0.708791209
45,0.000175072,1,0.706043956
46,0.000404826,1,0.708791209
47,0.000219039,1,0.700549451
48,0.000105432,1,0.708791209
49,9.60E-05,1,0.706043956
50,9.75E-05,1,0.706043956
51,0.000336785,1,0.711538462
52,0.000146021,1,0.706043956
53,0.000488858,1,0.708791209
54,0.000113728,1,0.703296703
55,0.000132103,1,0.700549451
56,0.00026369,1,0.703296703
57,0.000153635,1,0.703296703
58,0.000306154,1,0.706043956
59,0.000121481,1,0.706043956
60,0.000168382,1,0.717032967
61,7.60E-05,1,0.714285714
62,0.000196655,1,0.708791209
63,7.29E-05,1,0.708791209
64,0.000164607,1,0.714285714
65,0.000149074,1,0.706043956
66,0.000108282,1,0.708791209
67,0.00020362,1,0.706043956
68,7.17E-05,1,0.717032967
69,0.000112384,1,0.711538462
70,0.000108032,1,0.708791209
71,0.000143015,1,0.703296703
72,0.00011118,1,0.711538462
73,0.000164318,1,0.717032967
74,0.000103611,1,0.708791209
75,9.66E-05,1,0.714285714
76,0.000102396,1,0.714285714
77,6.45E-05,1,0.711538462
78,8.00E-05,1,0.717032967
79,4.50E-05,1,0.717032967
80,0.000126201,1,0.714285714
81,8.39E-05,1,0.711538462
82,4.35E-05,1,0.711538462
83,4.58E-05,1,0.714285714
84,0.773687601,0.981548699,0.425824176
85,0.872662067,0.635511192,0.585164835
86,0.73961699,0.701754386,0.541208791
87,0.666213274,0.787356322,0.653846154
88,0.342705995,0.870235935,0.67032967
89,0.248866796,0.92831216,0.64010989
90,0.059465371,0.967937084,0.711538462
91,0.080727667,0.987598306,0.722527473
92,0.022979209,0.993042952,0.714285714
93,0.120093912,0.99092559,0.708791209
94,0.016144898,0.983061101,0.620879121
95,0.039834589,0.991530551,0.681318681
96,0.005202278,0.998487598,0.708791209
97,0.001492982,0.999092559,0.730769231
98,0.000825104,1,0.736263736
99,0.000989564,1,0.744505495
100,0.000664783,1,0.71978022
,4.35479E-05,1,0.744505495
